"Match_no","Match","team1","team2","winner","Match_result","Number of batsmen","Runs","Balls","Not out","Highest","Average","SR","4s","6s","Boundaries %"
1,"1st match","Mumbai Indians","Kolkata Knight Riders","Kolkata Knight Riders","by 7 wickets (with 9 balls remaining)",10,331,231,4,98,55.17,143.29,29,18,67.67
2,"2nd match","Chennai Super Kings","Delhi Daredevils","Chennai Super Kings","by 1 run",20,280,241,4,73,17.5,116.18,28,5,50.71
3,"3rd match","Rajasthan Royals","Kings XI Punjab","Rajasthan Royals","by 26 runs",19,268,240,4,46,17.87,111.67,24,10,58.21
4,"4th match","Chennai Super Kings","Sunrisers Hyderabad","Chennai Super Kings","by 45 runs",14,347,244,4,100,34.7,142.21,24,21,63.98
5,"5th match","Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore","by 3 wickets (with 6 balls remaining)",17,342,234,4,96,26.31,146.15,35,15,67.25
6,"6th match","Delhi Daredevils","Rajasthan Royals","Rajasthan Royals","by 3 wickets (with 0 balls remaining)",14,355,240,4,54,35.5,147.92,27,18,60.85
7,"7th match","Kings XI Punjab","Mumbai Indians","Kings XI Punjab","by 18 runs",16,322,242,4,64,26.83,133.06,35,13,67.7
8,"8th match","Royal Challengers Bangalore","Sunrisers Hyderabad","Sunrisers Hyderabad","by 8 wickets (with 16 balls remaining)",15,306,225,3,57,25.5,136,29,14,65.36
9,"9th match","Mumbai Indians","Rajasthan Royals","Rajasthan Royals","by 7 wickets (with 5 balls remaining)",13,320,239,4,79,35.56,133.89,32,11,60.62
10,"10th match","Kings XI Punjab","Delhi Daredevils","Delhi Daredevils","by 5 wickets (with 1 ball remaining)",15,315,240,3,68,26.25,131.25,24,15,59.05
11,"11th match","Sunrisers Hyderabad","Rajasthan Royals","Rajasthan Royals","by 6 wickets (with 0 balls remaining)",13,245,241,4,62,27.22,101.66,26,4,52.24
12,"12th match","Mumbai Indians","Chennai Super Kings","Chennai Super Kings","by 6 wickets (with 20 balls remaining)",15,354,223,4,64,32.18,158.74,35,19,71.75
13,"13th match","Delhi Daredevils","Sunrisers Hyderabad","Delhi Daredevils","by 4 runs",15,317,240,3,60,26.42,132.08,19,17,56.15
14,"14th match","Kings XI Punjab","Kolkata Knight Riders","Kolkata Knight Riders","by 4 wickets (with 13 balls remaining)",18,299,227,3,66,19.93,131.72,31,11,63.55
15,"15th match","Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","by 8 wickets (with 10 balls remaining)",10,306,230,4,76,51,133.04,30,9,56.86
16,"16th match","Mumbai Indians","Royal Challengers Bangalore","Mumbai Indians","by 18 runs",17,367,242,3,59,26.21,151.65,43,18,76.29
17,"17th match","Delhi Daredevils","Kolkata Knight Riders","Kolkata Knight Riders","by 6 wickets (with 11 balls remaining)",15,273,229,3,60,22.75,119.21,31,7,60.81
18,"18th match","Rajasthan Royals","Kings XI Punjab","Kings XI Punjab","the one-over eliminator)",16,367,241,4,74,30.58,152.28,28,18,59.95
19,"19th match","Sunrisers Hyderabad","Kolkata Knight Riders","Sunrisers Hyderabad","by 16 runs (D/L method)",12,270,193,4,91,33.75,139.9,21,12,57.78
20,"20th match","Chennai Super Kings","Royal Challengers Bangalore","Chennai Super Kings","by 27 runs",19,319,240,3,62,19.94,132.92,29,17,68.34
21,"21st match","Delhi Daredevils","Mumbai Indians","Delhi Daredevils","by 37 runs",17,324,241,4,83,24.92,134.44,26,17,63.58
22,"22nd match","Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore","by 9 wickets (with 23 balls remaining)",14,255,217,4,62,25.5,117.51,20,7,47.84
23,"23rd match","Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians","by 20 runs",20,279,241,4,51,17.44,115.77,30,5,53.76
24,"24th match","Chennai Super Kings","Kings XI Punjab","Chennai Super Kings","by 97 runs",16,267,241,4,66,22.25,110.79,24,9,56.18
25,"26th match","Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore","by 10 wickets (with 57 balls remaining)",13,184,173,3,62,18.4,106.36,20,5,59.78
26,"27th match","Sunrisers Hyderabad","Kings XI Punjab","Sunrisers Hyderabad","by 20 runs",19,272,240,4,58,18.13,113.33,24,5,46.32
27,"28th match","Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","by 2 runs",19,249,240,4,39,16.6,103.75,24,6,53.01
28,"30th match","Chennai Super Kings","Kolkata Knight Riders","Kolkata Knight Riders","by 7 wickets (with 1 ball remaining)",16,304,239,4,80,25.33,127.2,30,12,63.16
29,"31st match","Kings XI Punjab","Delhi Daredevils","Delhi Daredevils","by 9 wickets (with 37 balls remaining)",13,221,204,4,54,24.56,108.33,20,7,55.2
30,"32nd match","Mumbai Indians","Rajasthan Royals","Mumbai Indians","by 8 runs",16,345,242,4,76,28.75,142.56,33,11,57.39
31,"33rd match","Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore","by 7 wickets (with 2 balls remaining)",11,214,119,4,45,30.57,179.83,17,14,71.03
32,"34th match","Sunrisers Hyderabad","Chennai Super Kings","Sunrisers Hyderabad","by 22 runs",16,350,241,3,61,26.92,145.23,39,11,63.43
33,"35th match","Mumbai Indians","Kings XI Punjab","Mumbai Indians","by 23 runs",13,304,240,3,71,30.4,126.67,27,7,49.34
34,"36th match","Rajasthan Royals","Delhi Daredevils","Rajasthan Royals","by 14 runs",13,341,240,4,91,37.89,142.08,33,13,61.58
35,"37th match","Chennai Super Kings","Royal Challengers Bangalore","Chennai Super Kings","by 24 runs",21,265,238,2,52,13.95,111.34,27,6,54.34
36,"38th match","Kolkata Knight Riders","Sunrisers Hyderabad","Kolkata Knight Riders","by 35 runs",20,288,240,4,41,18,120,24,9,52.08
37,"39th match","Delhi Daredevils","Mumbai Indians","Mumbai Indians","by 5 wickets (with 3 balls remaining)",15,292,237,4,57,26.55,123.21,24,13,59.59
38,"40th match","Royal Challengers Bangalore","Kings XI Punjab","Royal Challengers Bangalore","by 138 runs",16,294,203,3,117,22.62,144.83,22,21,72.79
39,"42nd match","Kolkata Knight Riders","Delhi Daredevils","Kolkata Knight Riders","by 13 runs",16,310,240,3,42,23.85,129.17,30,13,63.87
40,"41st match","Sunrisers Hyderabad","Rajasthan Royals","Sunrisers Hyderabad","by 7 runs",15,373,240,4,68,33.91,155.42,39,17,69.17
41,"43rd match","Chennai Super Kings","Mumbai Indians","Mumbai Indians","by 6 wickets (with 4 balls remaining)",12,309,236,3,45,34.33,130.93,24,13,56.31
42,"44th match","Kings XI Punjab","Kolkata Knight Riders","Kolkata Knight Riders","by 1 wicket (with 1 ball remaining)",18,351,239,4,51,25.07,146.86,31,19,67.81
43,"45th match","Sunrisers Hyderabad","Delhi Daredevils","Sunrisers Hyderabad","by 6 runs",12,312,240,4,74,39,130,28,10,55.13
44,"46th match","Royal Challengers Bangalore","Mumbai Indians","Royal Challengers Bangalore","by 39 runs",12,420,241,4,133,52.5,174.27,41,20,67.62
45,"47th match","Chennai Super Kings","Rajasthan Royals","Chennai Super Kings","by 12 runs",18,288,242,4,81,20.57,119.01,25,8,51.39
46,"48th match","Sunrisers Hyderabad","Kings XI Punjab","Sunrisers Hyderabad","by 5 runs",16,353,241,4,89,29.42,146.47,27,21,66.29
47,"49th match","Chennai Super Kings","Delhi Daredevils","Delhi Daredevils","by 6 wickets (with 20 balls remaining)",14,232,220,4,70,23.2,105.45,25,6,58.62
48,"50th match","Kings XI Punjab","Royal Challengers Bangalore","Kings XI Punjab","by 22 runs",16,178,121,4,31,14.83,147.11,14,7,55.06
49,"51st match","Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","by 5 runs",15,319,243,4,61,29,131.28,37,7,59.56
50,"52nd match","Sunrisers Hyderabad","Royal Challengers Bangalore","Royal Challengers Bangalore","by 6 wickets (with 1 ball remaining) (D/L method)",10,210,103,3,57,30,203.88,18,12,68.57
51,"53rd match","Kings XI Punjab","Chennai Super Kings","Chennai Super Kings","by 7 wickets (with 19 balls remaining)",14,249,221,4,55,24.9,112.67,23,7,53.82
52,"54th match","Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","by 9 runs",18,353,243,3,104,23.53,145.27,41,11,65.16
53,"56th match","Sunrisers Hyderabad","Mumbai Indians","Mumbai Indians","by 9 wickets (with 37 balls remaining)",14,213,203,3,51,19.36,104.93,21,4,50.7
54,"Qualifier 1","Mumbai Indians","Chennai Super Kings","Mumbai Indians","by 25 runs",19,332,235,3,65,20.75,141.28,22,19,60.84
55,"Eliminator","Royal Challengers Bangalore","Rajasthan Royals","Royal Challengers Bangalore","by 71 runs",17,274,234,3,66,19.57,117.09,26,8,55.47
56,"Qualifier 2","Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings","by 3 wickets (with 1 ball remaining)",19,265,239,4,56,17.67,110.88,20,8,48.3
57,"Final","Mumbai Indians","Chennai Super Kings","Mumbai Indians","by 41 runs",17,350,243,4,68,26.92,144.03,32,18,67.43
