"Result","Batting Order","Matches","Individual Innings","Runs","Balls","Not out","Highest","Average","SR","Team Runs %","4s","6s","Boundaries %"
"All",1,57,114,3540,2704,7,117,33.08,130.92,19.73,388,133,66.38
"Won",1,57,57,2223,1601,5,117,42.75,138.85,23.57,233,94,67.3
"Lost",1,57,57,1317,1103,2,98,23.95,119.4,15.47,155,39,64.84
"All",2,57,114,3078,2374,10,104,29.6,129.65,17.15,327,110,63.94
"Won",2,57,57,2028,1473,9,104,42.25,137.68,21.51,210,75,63.61
"Lost",2,57,57,1050,901,1,68,18.75,116.54,12.33,117,35,64.57
"All",3,57,113,2770,2071,12,133,27.43,133.75,15.44,253,101,58.41
"Won",3,56,56,1582,1128,9,133,33.66,140.25,16.78,151,56,59.42
"Lost",3,57,57,1188,943,3,76,22,125.98,13.96,102,45,57.07
"All",4,57,109,2205,1673,11,63,22.5,131.8,12.29,170,97,57.23
"Won",4,52,52,1176,816,11,63,28.68,144.12,12.47,85,61,60.03
"Lost",4,57,57,1029,857,0,52,18.05,120.07,12.09,85,36,54.03
"All",5,57,105,2143,1625,28,89,27.83,131.88,11.94,174,90,57.68
"Won",5,49,49,900,647,20,61,31.03,139.1,9.54,66,42,57.33
"Lost",5,56,56,1243,978,8,89,25.9,127.1,14.6,108,48,57.92
"All",6,56,95,1511,1100,29,70,22.89,137.36,8.42,123,66,58.77
"Won",6,41,41,601,384,20,61,28.62,156.51,6.37,53,27,62.23
"Lost",6,54,54,910,716,9,70,20.22,127.09,10.69,70,39,56.48
"All",7,50,76,946,715,25,66,18.55,132.31,5.27,71,44,57.93
"Won",7,27,27,300,211,11,66,18.75,142.18,3.18,22,14,57.33
"Lost",7,49,49,646,504,14,47,18.46,128.17,7.59,49,30,58.2
"All",8,49,66,518,366,30,64,14.39,141.53,2.89,36,25,56.76
"Won",8,19,19,146,79,13,18,24.33,184.81,1.55,15,5,61.64
"Lost",8,47,47,372,287,17,64,12.4,129.62,4.37,21,20,54.84
"All",9,39,46,171,166,24,34,7.77,103.01,0.95,12,6,49.12
"Won",9,10,10,31,26,6,9,7.75,119.23,0.33,3,0,38.71
"Lost",9,36,36,140,140,18,34,7.78,100,1.64,9,6,51.43
"All",10,25,27,115,96,18,24,12.78,119.79,0.64,10,6,66.09
"Won",10,4,4,1,3,4,1,1,33.33,0.01,0,0,0
"Lost",10,23,23,114,93,14,24,12.67,122.58,1.34,10,6,66.67
"All",11,18,18,45,52,14,19,11.25,86.54,0.25,4,0,35.56
"Won",11,1,1,0,1,1,0,NA,0,0,0,0,NA
"Lost",11,17,17,45,51,13,19,11.25,88.24,0.53,4,0,35.56
